Shipping Company,Posted date,Star rating,Review text,Source
FedEx,"February 4, 2026",1,"Low-level service. Not recommended to order or let them handle your shipment. No one there knows how to provide clear answers or proper explanations without creating even more questions. They charge unreasonable fees and amounts without actually explaining what the payment is for. The payment process feels unsafe, and the shipment is not organized. They demand additional charges without prior notice or informing the customer. On top of that, the delivery itself is completely unorganized. The courier calls whenever he feels like it, without scheduling in advance, even though the customer is available and ready to pay. Without extra payment, the package is not delivered, and rescheduling the delivery becomes a huge and exhausting procedure. I will never order from or deal with FedEx again, and I strongly recommend everyone to stay away from them as a shipping company.",Trustpilot – FedEx (www.fedex.com)
FedEx,"February 3, 2026",1,"I contacted FedEx Denmark to request an export price correction, but the staff was extremely cold and unhelpful. Instead of assisting with the amendment process, they just gave me the runaround and told me to ""ask Customs."" As a major carrier, they should take responsibility for their documentation errors or at least guide the customer. Disappointing experience.",Trustpilot – FedEx (www.fedex.com)
FedEx,"February 4, 2026",1,"Absolutely garbage service. Package has had status out for delivery for more than 2 days and the customer service phone number routes you to just telling you it's out for delivery and that's all the information they have and hang up on you. The only way to get a real person is to say ""something else"", ""tech support"", ""something else"" and then that person will just tell you the same thing. Zero accountability, zero customer service, horrible organization. Will go out of my way to avoid FedEx whenever possible in the future.",Trustpilot – FedEx (www.fedex.com)
FedEx,"January 30, 2026",1,"This is the complete worst company ever first and last time. I had the most wordt experience with you ever. Ill never use fed ex again. Know wonder why it has a one star review says it all. Im a straight up honest person i call them as i see them. Worst experience. They say there delivering Sunday this time it don't happen have to be home to sign, then they say monday this time it dont happen either. They play games with people's minds. Well im an adult not a child play head games with someone else. My time is valuable. Can't fix stupid medicate it. There say there in this area Hunker not far from me yet cant give a time and keep lieing on a delivery time. Im sick of it. Here is a piece of advice treat people the way you want to be treated. Stop treating ur customers bad then they will leave you a good review.",Trustpilot – FedEx (www.fedex.com)
FedEx,"February 3, 2026",1,The worst shipping and customer lack of service.,Trustpilot – FedEx (www.fedex.com)
FedEx,"February 2, 2026",1,"Drivers are thieves. Last year I ordered a brahmins hand bags the fex driver delivered it at the wrong place this was the first time. it was ,$300.00. The second time I ordered a Motorola razor phone and the driver Left fit at the front that's on the floor at my senior citizen but. I did get it $599.00. Now this is the third time I ordered some pajamas They took it to a bank PNC instead of the post office and let someone else sign for my package $50.00 this to This is too many times that the drivers has done this. When are you going to investigate and realize that those drivers need to go? Somebody is stealing.",Trustpilot – FedEx (www.fedex.com)
FedEx,"January 28, 2026",1,They steal items. I was told by the people I ordered my phone from which is best buy that Fedex workers are the ones keep stealing my phone. This has happened twice. They cut open the bottom of the box and put clear tape on where they opened it up. Always look for the clear tape over the brown seal tape usually at the bottom of the box.,Trustpilot – FedEx (www.fedex.com)
FedEx,"January 31, 2026",1,So many lies. I’ve never had to deal with so many lies they keep telling me about why my package hasn’t been delivered and they say they don’t know the location is on a map. I’ve talked too so many people about my lost driver and package it’s unbelievable. They keep telling me every day for four days before I hang up that I will get my package by the end of the day.,Trustpilot – FedEx (www.fedex.com)
FedEx,"February 1, 2026",1,"How do you guys stay in business. The last 5 packages from you guys are always 3 to 7 days later than the day you say it will be delivered. You tracking shows it on the truck and out for delivery and then at 9 PM at night, status is updated with various excuses. Weather, shipping problems, problem with delivery, and others. I NEVER use fedex and if a company uses you I request different carrier or shop elsewhere. Just say your motto is: ""WE don't care, we are always late, deal with it, if you don't like it, tough there is nothing you can do about it."" smh",Trustpilot – FedEx (www.fedex.com)
FedEx,"February 4, 2026",1,"What the hell
My mom had been waiting for my package for FOUR HOURS, just for them to deem that no one was home. They DIDNT EVEN KNOCK ON THE DOOR!! Sorry I'm really frustrated that I've had to postpone my package so many times to be able to receive it, just for it to not be delivered. I still haven't received it :(",Trustpilot – FedEx (www.fedex.com)
FedEx,3-Feb-26,1,"I contacted FedEx Denmark to request an export price correction, but the staff was extremely cold and unhelpful. Instead of assisting with the amendment process, they just gave me the runaround and told me to ""ask Customs."" As a major carrier, they should take responsibility for their documentation errors or at least guide the customer. Disappointing experience.",Trustpilot – FedEx (www.fedex.com)
